vdeListas de países,vdeListas de países.1
Ambiente,Bem-estar sustentável Desempenho ambiental Emissões de dióxido de carbono Risco de desastre natural
Códigos,COI FIFA FIPS ISO Prefixo naval Telefônicos TLDs de Internet
Demografia,Esperança de vida Fecundidade Imigrantes Mortalidade Infantil Natalidade População Crescimento Densidade Religiões Budista Católica Muçulmana Protestante Irreligião Urbanização
Economia,Capacidade Nacional Capital Humano Competitividade Direitos de propriedade Distribuição de riqueza Dívida externa Dívida pública Exportações Importações Inflação Inovação Liberdade econômica Milionários e Bilionários Moedas Perdas e Fraudes financeiras Prosperidade Riqueza total Salário mínimo Tecnologia Tributação Consumo Bebidas Cerveja Idade legal Cannabis Adultos Celulares Smartphones Internet Usuários Velocidade Energia Eletricidade Produção Renovável Gás Natural Exportação Produção Reservas Petróleo Exportação Produção Reservas PIB Crescimento Real PIB Nominal per capita PIB por PPC per capita Produção Alumínio Antimônio Bauxita Bismuto Carvão Reservas Chumbo Cobre Crômio Diamante Estanho Ferro Lítio Magnésio Manganês Mercúrio Níquel Ouro Platina Prata Urânio Zinco Transporte Aeroportos Automóveis per capita Produzidos Heliportos Malha ferroviária Metrôs
Consumo,Bebidas Cerveja Idade legal Cannabis Adultos Celulares Smartphones Internet Usuários Velocidade
Energia,Eletricidade Produção Renovável Gás Natural Exportação Produção Reservas Petróleo Exportação Produção Reservas
PIB,Crescimento Real PIB Nominal per capita PIB por PPC per capita
Produção,Alumínio Antimônio Bauxita Bismuto Carvão Reservas Chumbo Cobre Crômio Diamante Estanho Ferro Lítio Magnésio Manganês Mercúrio Níquel Ouro Platina Prata Urânio Zinco
Transporte,Aeroportos Automóveis per capita Produzidos Heliportos Malha ferroviária Metrôs
Geografia,Área Capital Continente Fronteiras Terrestres Únicas Litoral Ponto mais elevado Por País Ponto mais meridional Ponto mais setentrional
Militarismo,Armas de fogo Artilharia Batalhas Blindados de combate Forças de Paz Forças especiais Gastos militares Poder militar Tropas ativas
Órgãos,BRICS Commonwealth COI CPLP Estatuto de Roma FIFA G20 Liga Árabe Mercosul Monarquias OEA OIT ONU OTAN Sociedade das Nações UNASUL União Africana União Europeia
Política,Chefes de Estado e de Governo Constituições Corrupção Democracia Divisões administrativas Estados soberanos Incumbentes Orçamento público Parlamentos Partidos políticos Serviços de inteligência Sistemas de governo Sistemas de votação Tamanho do setor público
Saúde,Antidepressivos HIV/AIDS em adultos Obesidade em adultos Qualidade de vida Suicídio
Símbolos,Emblemas Etimologia Gentílicos Grafias múltiplas Hinos nacionais Lemas nacionais Línguas oficiais Nomes obsoletos
Sociedade,Aborto Arranha-céus e estruturas Data de fundação Desenvolvimento Diferenças de gêneros Direitos LGBT Educação Alfabetização Avaliação Proficiência em inglês Eutanásia Escravidão Abolição Felicidade Homicídios intencionais Liberdade de imprensa Liberdades civis e políticas Património Mundial Pena de morte Pessoas mais antigas Prêmios Nobel
